"","edf","Ref.df","F","p-value"
"s(mgmt_delay_fn1)",3.0301005323773e-09,4,1.00470128750345e-10,0.839125560641037
"s(TenYear)",0.773519285802317,4,0.853846749388196,0.0369559744463613
