country,manag,damag,pre,pos,kno,
Indonesia,0.000518621,3.405353303,#N/A,0.000518621,#N/A,
Ireland,0.003214678,#N/A,7.95E-06,0.003148532,5.82E-05,
Israel,2.10E-07,5.91E-05,2.10E-07,#N/A,#N/A,
Italy,0.103207671,0.397613442,0.000379724,0.082339635,4.10E-06,
Ivory Coast,9.57E-08,0.000358236,#N/A,9.57E-08,#N/A,
Japan,0.573184245,0.362682763,0.011629573,0.551287353,0.007423698,
Kenya,0.000136504,1.565073823,#N/A,0.000136504,#N/A,
Libya,0.196526569,#N/A,#N/A,0.196526569,#N/A,
Lithuania,3.82E-05,#N/A,#N/A,3.45E-05,3.73E-06,
Madagascar,1.19E-06,#N/A,#N/A,1.19E-06,#N/A,
Malaysia,0.369371355,2.303193243,#N/A,0.369371355,#N/A,
Maldives,0.001658757,0.002453972,0.001383886,0.000274871,#N/A,
Malta,0.000446211,#N/A,#N/A,0.000446211,#N/A,
Mauritius,0.000150126,#N/A,#N/A,0.000150126,#N/A,
Mexico,0.98055955,2.895499676,0.568116688,0.41208167,0.000359963,
Netherlands,0.080478743,0.17991583,#N/A,0.079429665,0.000931412,
New Zealand,1.595840225,7.224715961,0.065675695,1.40823398,0.121855667,
Nicaragua,0.000804286,0.342199618,#N/A,0.000804286,#N/A,
Norway,0.011346842,0.756461963,0.000915667,0.010027809,#N/A,
Pakistan,1.09E-06,0.071052524,#N/A,1.09E-06,#N/A,
Panama,0.008398653,0.092058347,#N/A,0.002081492,#N/A,
Paraguay,0.000297586,0.023158662,#N/A,0.000297586,#N/A,
Peru,0.064344982,1.067386308,#N/A,0.063266164,#N/A,
Philippines,0.157305274,2.874646592,#N/A,0.157305274,#N/A,
Portugal,0.000579157,0.750041992,3.67E-06,0.000575484,#N/A,
Russia,0.005500276,2.214300645,#N/A,0.005313357,#N/A,
Salvador,0.001608572,0.141104045,#N/A,0.001608572,#N/A,
Senegal,1.97E-06,0.012201957,#N/A,1.97E-06,#N/A,
Seychelles,0.003087819,0.002331416,7.31E-05,0.003014752,#N/A,
Singapore,0.578010387,1.139499252,#N/A,0.578010387,#N/A,
Slovenia,0.001233559,0.027303021,0.001233559,#N/A,#N/A,
South Africa,3.734256593,3.216804651,#N/A,3.667860483,0.01496484,
South Korea,0.003736678,#N/A,#N/A,0.003736678,#N/A,
Spain,0.251968252,0.015229565,0.002909125,0.191138382,0.00807483,
Sri Lanka,0.002202728,0.001109964,#N/A,0.002202728,#N/A,
Swaziland,1.97E-06,#N/A,#N/A,1.97E-06,#N/A,
Sweden,0.101492771,0.284121372,#N/A,0.100732663,0.000760108,
Switzerland,0.001891316,0.007432489,4.30E-05,#N/A,#N/A,
Taiwan,0.00414165,#N/A,#N/A,0.00414165,#N/A,
Tanzania,8.40E-05,1.108291872,#N/A,8.40E-05,#N/A,
Thailand,0.542205551,4.63358112,#N/A,0.542205551,#N/A,
Togo,0.000467033,#N/A,#N/A,0.000467033,#N/A,
Uganda,0.001216387,1.070554072,#N/A,0.001216387,#N/A,
Ukraine,0.001010511,1.510312126,#N/A,0.000992233,#N/A,
United Kingdom,1.767110132,3.556510039,0.018148463,1.562182221,0.056545374,
Uruguay,0.00086394,0.011894372,#N/A,1.94E-05,0.000254618,
USA,43.07656952,545.2366938,1.39713204,24.51526382,14.70722085,
Venezuela,0.00045123,1.03310795,#N/A,0.00045123,#N/A,
Vietnam,0.007622493,0.359951984,#N/A,3.81E-05,#N/A,
Zimbabwe,0.021385884,0.081028915,#N/A,0.021385884,#N/A,
